CONTAINER ID   NAME                       CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
8a29e5db717b   openchat-grafana           0.07%     73.33MiB / 7.653GiB   0.94%     20.4kB / 7.83kB   1.75MB / 209kB   16
6f6003a59567   openchat-prometheus        0.00%     50.04MiB / 7.653GiB   0.64%     14.8MB / 261kB    5.19MB / 709kB   15
4c1705880f4a   openchat-influxdb          0.09%     49.88MiB / 7.653GiB   0.64%     9.95kB / 2.91kB   8.75MB / 229kB   19
ec51b85c8457   openchat-cadvisor          0.72%     25.62MiB / 7.653GiB   0.33%     14.9kB / 188kB    12.3kB / 0B      19
5c259b0ac282   openchat-redis-exporter    0.00%     11.51MiB / 7.653GiB   0.15%     309kB / 133kB     246kB / 0B       13
f2cb9b015be1   openchat-lb-out-small      0.00%     3.852MiB / 256MiB     1.50%     2.35GB / 2.2GB    123kB / 12.3kB   2
52c97051f75a   openchat-app-out-small-1   1.13%     506.3MiB / 2GiB       24.72%    177MB / 1.11GB    0B / 377kB       134
a91f450de9d6   openchat-app-out-small-2   1.16%     503.7MiB / 2GiB       24.59%    173MB / 1.11GB    0B / 344kB       139
3476a9885204   openchat-loadtest-redis    0.80%     10.75MiB / 7.653GiB   0.14%     36.6MB / 38.9MB   881kB / 0B       6
eb4b467c467a   openchat-loadtest-mysql    1.68%     471.4MiB / 7.653GiB   6.02%     79MB / 63.1MB     5.71MB / 818MB   98
